,user_id,mal_id,rating
0,1,29978,6.0
1,1,2467,10.0
2,1,28789,6.0
3,1,34881,6.0
4,1,101,10.0
5,1,713,8.0
6,1,36032,8.0
7,1,656,5.0
8,1,1485,10.0
9,1,17901,6.0
10,1,5251,7.0
11,1,39288,5.0
12,1,2810,10.0
13,1,34611,6.0
14,1,7152,7.0
15,1,1327,10.0
16,1,2825,10.0
17,1,2576,7.0
18,1,40128,7.0
19,1,31880,5.0
20,1,2789,10.0
21,1,28805,7.0
22,1,34443,9.0
23,1,39555,8.0
24,1,2156,10.0
25,1,4563,10.0
26,1,2702,10.0
27,1,2709,10.0
28,1,288,10.0
29,1,1468,5.0
30,1,67,10.0
31,1,32311,6.0
32,1,30137,7.0
33,1,31904,7.0
34,1,68,10.0
35,1,12079,6.0
36,1,40564,5.0
37,1,31043,10.0
38,1,35815,10.0
39,1,31964,7.0
40,1,33929,7.0
41,1,9907,6.0
42,1,21405,8.0
43,1,1672,10.0
44,1,3637,7.0
45,1,31478,10.0
46,1,32867,10.0
47,1,38003,10.0
48,1,34944,10.0
49,1,33071,10.0
50,1,1689,10.0
51,1,2274,6.0
52,1,2768,7.0
53,1,2116,10.0
54,1,1674,10.0
55,1,1614,10.0
56,1,40683,6.0
57,1,37174,10.0
58,1,30903,10.0
59,1,2703,10.0
60,1,2817,7.0
61,1,1844,10.0
62,1,40687,5.0
63,1,1575,10.0
64,1,2904,10.0
65,1,6768,7.0
66,1,2124,7.0
67,1,4596,7.0
68,1,6119,10.0
69,1,13807,5.0
70,1,15037,5.0
71,1,22839,8.0
72,1,2907,10.0
73,1,2285,10.0
74,1,31636,9.0
75,1,36049,9.0
76,1,7081,7.0
77,1,11843,8.0
78,1,12893,8.0
79,1,17121,6.0
80,1,14353,9.0
81,1,1535,7.0
82,1,2994,7.0
83,1,28223,10.0
84,1,23483,5.0
85,1,3561,10.0
86,1,13837,10.0
87,1,5348,10.0
88,1,6231,10.0
89,1,8331,10.0
90,1,10531,10.0
91,1,779,10.0
92,1,780,10.0
93,1,781,10.0
94,1,1363,10.0
95,1,1364,10.0
96,1,1365,10.0
97,1,1366,10.0
98,1,1367,10.0
99,1,7304,10.0
100,1,7471,10.0
101,1,1505,10.0
102,1,7305,10.0
103,1,1506,10.0
104,1,2171,10.0
105,1,4447,10.0
106,1,5460,10.0
107,1,6467,10.0
108,1,9963,10.0
109,1,12117,10.0
110,1,14735,10.0
111,1,21419,10.0
112,1,28479,10.0
113,1,32005,10.0
114,1,34430,10.0
115,1,35798,10.0
116,1,1369,10.0
117,1,2512,10.0
118,1,2513,10.0
119,1,2514,10.0
120,1,2515,10.0
121,1,1368,10.0
122,1,2597,10.0
123,1,6198,10.0
124,1,6438,10.0
125,1,8609,10.0
126,1,10703,10.0
127,1,13839,10.0
128,1,10766,6.0
129,1,7303,10.0
130,1,9839,10.0
131,1,33145,10.0
132,1,34036,10.0
133,1,24169,10.0
134,1,552,10.0
135,1,1313,10.0
136,1,874,10.0
137,1,10691,6.0
138,1,813,10.0
139,1,2229,10.0
140,1,1685,5.0
141,1,24197,5.0
142,1,40556,6.0
143,1,5088,7.0
144,1,19187,6.0
145,1,2553,6.0
146,1,2623,6.0
147,1,13281,6.0
148,1,13629,7.0
149,1,123,10.0
150,1,380,10.0
151,1,27567,10.0
152,1,381,10.0
153,1,124,10.0
154,1,1251,10.0
155,1,271,10.0
156,1,34280,7.0
157,1,239,10.0
158,1,1829,6.0
159,1,3012,10.0
160,1,3907,10.0
161,1,973,10.0
162,1,5578,10.0
163,1,2416,7.0
164,1,287,8.0
165,1,551,8.0
166,1,245,5.0
167,1,10271,5.0
168,1,3002,5.0
169,1,33378,5.0
170,1,35228,5.0
171,1,39884,7.0
172,1,1466,10.0
173,1,16528,8.0
174,1,2804,10.0
175,1,20903,7.0
176,1,33905,5.0
177,1,32700,6.0
178,1,11521,10.0
179,1,2799,10.0
180,1,6399,4.0
181,1,2228,7.0
182,1,578,7.0
183,1,39476,6.0
184,1,431,8.0
185,1,136,10.0
186,1,11061,10.0
187,1,13271,10.0
188,1,19951,10.0
189,1,10189,10.0
190,1,138,10.0
191,1,139,10.0
192,1,137,10.0
193,1,12189,10.0
194,1,1156,10.0
195,1,1316,10.0
196,1,2938,10.0
197,1,2829,10.0
198,1,5231,10.0
199,1,40442,6.0
200,1,34542,7.0
201,1,432,10.0
202,1,20945,10.0
203,1,25305,8.0
204,1,6008,6.0
205,1,8217,6.0
206,1,14719,10.0
207,1,20899,10.0
208,1,26055,10.0
209,1,31933,10.0
210,1,37991,10.0
211,1,2569,8.0
212,1,13185,8.0
213,1,2772,10.0
214,1,38161,8.0
215,1,37999,8.0
216,1,40591,7.0
217,1,34933,8.0
218,1,38939,7.0
219,1,37086,8.0
220,1,11583,6.0
221,1,11507,6.0
222,1,32287,6.0
223,1,39112,6.0
224,1,1878,10.0
225,1,516,8.0
226,1,36630,5.0
