,user_id,mal_id,favorited
0,2,237,1
1,2,82525,1
2,2,407,1
3,3,31933,1
4,3,4,1
5,3,11061,1
6,3,2011,1
7,3,6033,1
8,3,22535,1
9,3,1535,1
10,3,3002,1
11,3,16498,1
12,3,1818,1
13,3,33,1
14,3,35851,1
15,3,20148,1
16,3,4003,1
17,3,422,1
18,3,20147,1
19,3,434,1
20,3,1080,1
21,3,2072,1
22,3,909,1
23,3,12300,1
24,3,79977,1
25,3,2619,1
26,3,1868,1
27,3,8,1
28,3,15,1
29,3,63,1
30,3,118,1
31,3,123,1
32,3,1881,1
33,3,212,1
34,3,185,1
<<<<<<< HEAD
=======
35,4,205,1
36,4,30,1
37,4,36649,1
38,4,37965,1
39,4,2769,1
40,4,391,1
41,4,164617,1
42,4,109931,1
43,4,7526,1
44,4,4580,1
45,4,5738,1
46,4,5327,1
47,7,339,1
48,7,3701,1
49,7,457,1
50,7,1030,1
51,7,1205,1
52,7,1441,1
53,7,2219,1
54,7,7373,1
55,7,14703,1
56,7,13784,1
57,7,4786,1
58,7,61799,1
59,7,5579,1
60,7,10101,1
61,7,2838,1
62,7,10917,1
63,7,2764,1
64,7,22723,1
65,8,9253,1
66,8,934,1
67,8,5530,1
68,8,22199,1
69,8,22535,1
70,8,15037,1
71,8,37999,1
72,8,11013,1
73,8,11887,1
74,8,31240,1
75,8,144633,1
76,8,160102,1
77,8,118489,1
78,8,71933,1
79,8,16211,1
80,8,35252,1
81,8,32801,1
82,8,168634,1
83,8,47005,1
84,8,46305,1
85,8,37098,1
86,8,40244,1
87,8,7428,1
88,8,15205,1
89,8,5631,1
90,8,17,1
91,8,185,1
92,8,7337,1
93,8,65,1
94,8,672,1
95,10,5114,1
96,10,35180,1
97,10,3,1
98,10,5420,1
99,10,486,1
100,10,35120,1
101,10,801,1
102,10,60,1
103,10,239,1
104,10,121,1
105,10,15417,1
106,10,11,1
107,10,21044,1
108,10,13835,1
109,10,18061,1
110,10,2033,1
111,10,87,1
112,10,89,1
113,10,417,1
114,10,672,1
115,10,5105,1
116,10,49522,1
117,10,8700,1
118,10,23569,1
119,10,5048,1
120,10,11090,1
121,10,7246,1
122,10,1830,1
123,10,1099,1
124,10,45468,1
125,10,45694,1
126,11,918,1
127,11,1,1
128,11,1535,1
129,11,31933,1
130,11,4,1
131,11,2251,1
132,11,245,1
133,11,37521,1
134,11,33255,1
135,11,7674,1
136,11,20,1
137,11,1,1
138,11,672,1
